"CODTALHAO";"CODPARCELA";"CODARVORE";"CAP";"ALT1";"DESCCATEGORIA"
3658;101;101;48,4;NA;"Bifurcadaacima1.30"
3658;101;102;47,4;NA;"Bifurcadaacima1.30"
3658;101;103;48,7;21,4;"Normal"
3658;101;201;51,3;22,8;"Normal"
3658;101;202;48,3;22;"Normal"
3658;101;203;42,8;21,5;"Normal"
3658;101;204;50,5;22,6;"Normal"
3658;101;205;49;22,5;"Normal"
3658;101;301;49,5;22,9;"Normal"
3658;101;302;52,4;23,3;"Normal"
3658;101;303;53,7;23,1;"Dominante"
3658;101;304;50,3;NA;"Normal"
3658;101;305;44;NA;"Normal"
3658;101;306;50,9;NA;"Normal"
3658;101;401;49,7;NA;"Normal"
3658;101;402;52,2;NA;"Normal"
3658;101;403;47;NA;"Normal"
3658;101;404;56,9;23,9;"Dominante"
3658;101;405;46,1;NA;"Bifurcadaacima1.30"
3658;101;501;48,8;NA;"Normal"
3658;101;502;50,7;NA;"Normal"
3658;101;503;46;NA;"Normal"
3658;102;101;45,4;21,8;"Normal"
3658;102;102;46,8;NA;"Bifurcadaacima1.30"
3658;102;103;52,4;22,3;"Normal"
3658;102;104;47,4;22;"Normal"
3658;102;201;48,2;NA;"Bifurcadaacima1.30"
3658;102;202;47;NA;"Bifurcadaacima1.30"
3658;102;203;43,8;21,6;"Normal"
3658;102;204;48,7;23,2;"Normal"
3658;102;205;46,6;22,4;"Normal"
3658;102;301;49,7;23,1;"Normal"
3658;102;302;47;NA;"Bifurcadaacima1.30"
3658;102;303;50,6;23;"Normal"
3658;102;304;54,3;21,9;"Dominante"
3658;102;305;39,7;NA;"Normal"
3658;102;306;47,4;NA;"Normal"
3658;102;401;50,4;NA;"Bifurcadaacima1.30"
3658;102;402;49,6;NA;"Bifurcadaacima1.30"
3658;102;403;44,2;NA;"Normal"
3658;102;404;48,7;NA;"Normal"
3658;102;501;46,8;NA;"Normal"
3658;102;502;55,5;21,6;"Dominante"
3658;102;503;48,9;NA;"Normal"
3658;103;101;51,6;22,3;"Normal"
3658;103;102;54;23,7;"Dominante"
3658;103;103;52,9;23,1;"Normal"
3658;103;201;48;NA;"Bifurcadaacima1.30"
3658;103;202;47,4;NA;"Bifurcadaacima1.30"
3658;103;203;50,7;NA;"Bifurcadaacima1.30"
3658;103;204;53,3;22,4;"Dominante"
3658;103;301;48,2;NA;"Bifurcadaacima1.30"
3658;103;302;44,6;NA;"Bifurcadaacima1.30"
3658;103;303;52,6;22,7;"Normal"
3658;103;304;55,2;NA;"Bifurcadaacima1.30"
3658;103;305;51,5;22,8;"Normal"
3658;103;306;50,6;22,5;"Normal"
3658;103;401;48,1;21,8;"Normal"
3658;103;402;50,9;NA;"Bifurcadaacima1.30"
3658;103;403;44,3;NA;"Normal"
3658;103;404;52,2;NA;"Normal"
3658;103;405;52,8;NA;"Normal"
3658;103;501;44,2;NA;"Bifurcadaabaixo1.30"
3658;103;501;29,7;NA;"Outros Fustes"
3658;103;502;52,5;NA;"Normal"
3658;103;503;51,2;NA;"Normal"
3658;104;101;39,5;NA;"Bifurcadaacima1.30"
3658;104;102;51,3;21,9;"Dominante"
3658;104;103;51,4;NA;"Bifurcadaacima1.30"
3658;104;201;48,3;NA;"Bifurcadaacima1.30"
3658;104;202;46,5;21,8;"Normal"
3658;104;203;47,1;NA;"Bifurcadaacima1.30"
3658;104;204;51,3;22,2;"Normal"
3658;104;301;53,7;NA;"Bifurcadaabaixo1.30"
3658;104;301;15,5;NA;"Outros Fustes"
3658;104;302;52,6;22,1;"Normal"
3658;104;303;52,2;23,2;"Dominante"
3658;104;304;47,5;21,9;"Normal"
3658;104;305;53,5;NA;"Bifurcadaacima1.30"
3658;104;306;49,1;22,8;"Normal"
3658;104;401;51,2;22,2;"Normal"
3658;104;402;49,1;NA;"Normal"
3658;104;403;49,3;NA;"Normal"
3658;104;404;NA;NA;"Falha"
3658;104;405;NA;NA;"Falha"
3658;104;501;52;NA;"Normal"
3658;104;502;50,6;NA;"Normal"
