"CODTALHAO";"CODPARCELA";"CODARVORE";"CAP";"ALT1";"DESCCATEGORIA"
3656;101;101;"51.2";"21.5";"Normal"
3656;101;103;"52.2";"20.9";"Normal"
3656;101;201;"22.6";NA;"Outros Fustes"
3656;101;203;"56";"21.7";"Normal"
3656;101;205;"45.2";"20.5";"Normal"
3656;101;302;"58.4";"21.6";"Dominante"
3656;101;304;"62.9";NA;"Bifurcadaacima1.30"
3656;101;306;"53.8";NA;"Inclinada"
3656;101;402;"43.7";NA;"Inclinada"
3656;101;404;"46.5";NA;"Normal"
3656;101;502;"41";NA;"Normal"
3656;102;101;"47.7";"20.1";"Normal"
3656;102;103;"43.7";NA;"Bifurcadaacima1.30"
3656;102;202;"47.3";"20.4";"Normal"
3656;102;204;"52.3";"21.1";"Normal"
3656;102;301;"49.8";"20.6";"Normal"
3656;102;303;"46";NA;"Normal"
3656;102;305;"56.1";"21.5";"Dominante"
3656;102;401;"38.4";NA;"Normal"
3656;102;403;"51.7";NA;"Normal"
3656;102;405;"47";NA;"Normal"
3656;102;501;"55.3";NA;"Normal"
3656;102;503;"54.2";NA;"Normal"
3656;103;101;"58.2";NA;"Bifurcadaacima1.30"
3656;103;201;"50.1";NA;"Bifurcadaabaixo1.30"
3656;103;202;"52.6";"21.4";"Normal"
3656;103;204;"42.4";"19.7";"Normal"
3656;103;302;"50.9";"20.9";"Normal"
3656;103;304;"55.1";"21.4";"Dominante"
3656;103;305;"37.4";NA;"Outros Fustes"
3656;103;401;"48.8";NA;"Bifurcadaabaixo1.30"
3656;103;402;"50.7";NA;"Normal"
3656;103;404;"52.3";NA;"Normal"
3656;103;502;"47";NA;"Normal"
3656;104;101;"57.5";"20.5";"Normal"
3656;104;201;"54.7";"21.1";"Normal"
3656;104;203;"50.6";NA;"Bifurcadaacima1.30"
3656;104;205;NA;NA;"Falha"
3656;104;302;"57";"22.2";"Normal"
3656;104;304;"51.7";NA;"Normal"
3656;104;402;"46.7";NA;"Bifurcadaacima1.30"
3656;104;404;"57.8";"21.6";"Dominante"
3656;104;502;"50.8";NA;"Normal"
3654;101;101;"51";"29.2";"Normal"
3654;101;202;"56.6";"30.6";"Normal"
3654;101;204;"53.2";"28.8";"Normal"
3654;101;302;"51.3";"29";"Normal"
3654;101;304;"53.2";NA;"Normal"
3654;101;401;"54";NA;"Normal"
3654;101;403;"55.8";NA;"Normal"
3654;101;405;"59";"30.2";"Dominante"
3654;101;502;"40.5";NA;"Normal"
3654;102;101;"58.9";"32.5";"Normal"
3654;102;103;NA;NA;"Falha"
3654;102;202;"53.6";"28.9";"Normal"
3654;102;204;"57.7";"29.8";"Normal"
3654;102;302;"55.5";"29.7";"Normal"
3654;102;304;NA;NA;"Falha"
3654;102;401;"24.2";NA;"Bifurcadaabaixo1.30"
3654;102;402;"29.7";NA;"Bifurcadaabaixo1.30"
3654;102;403;"50.9";NA;"Normal"
3654;102;405;"53.6";NA;"Normal"
3654;102;502;"50.5";NA;"Normal"
3654;103;101;NA;NA;"Falha"
3654;103;201;"52.4";"29.5";"Normal"
3654;103;203;NA;NA;"Falha"
3654;103;301;NA;NA;"Falha"
3654;103;303;"65.5";"30.8";"Dominante"
3654;103;305;"52.8";"28.6";"Normal"
3654;103;401;"24.5";NA;"Dominada"
3654;103;403;"56.1";"27.8";"Normal"
3654;103;405;"53.5";NA;"Normal"
3654;103;502;"55.4";NA;"Normal"
3654;104;101;"53.1";"27.7";"Normal"
3654;104;103;"49.3";"26.8";"Normal"
3654;104;202;"52.1";"30.2";"Normal"
3654;104;204;"49.3";"27.8";"Normal"
3654;104;302;"49.8";NA;"Normal"
3654;104;304;"57.4";"29.1";"Dominante"
3654;104;402;"58.1";"29.3";"Dominante"
3654;104;404;"54";NA;"Normal"
3654;104;501;"50.2";NA;"Normal"
